	c_0	c_1	c_2	c_3	c_4	c_5
_wt	18606.0	20945.0	22061.0	23434.0	24836.0	23173.0
var0001	86.0	112.0	139.0	162.0	245.0	254.0
var0002	106.0	125.0	132.0	187.0	195.0	191.0
var0003	177.0	140.0	128.0	110.0	96.0	78.0
var0004	134.0	152.0	132.0	90.0	69.0	62.0
var0005	185.0	148.0	166.0	127.0	112.0	76.0
var0006	165.0	205.0	195.0	201.0	226.0	241.0
var0007	208.0	252.0	215.0	173.0	200.0	165.0
var0008	161.0	136.0	108.0	89.0	102.0	80.0
var0009	145.0	128.0	99.0	110.0	83.0	65.0
var0010	148.0	142.0	140.0	116.0	128.0	93.0
var0011	204.0	174.0	137.0	120.0	128.0	77.0
var0012	122.0	86.0	75.0	57.0	43.0	23.0
var0013	178.0	140.0	117.0	86.0	89.0	63.0
var0014	281.0	360.0	316.0	288.0	269.0	248.0
var0015	122.0	107.0	96.0	76.0	60.0	63.0
var0016	239.0	220.0	207.0	162.0	164.0	122.0
var0017	177.0	211.0	185.0	194.0	221.0	214.0
var0018	194.0	204.0	195.0	178.0	171.0	155.0
var0019	285.0	239.0	203.0	176.0	155.0	96.0
var0020	161.0	244.0	282.0	366.0	394.0	411.0
var0021	238.0	285.0	371.0	423.0	518.0	522.0
var0022	180.0	226.0	247.0	300.0	354.0	282.0
var0023	211.0	123.0	73.0	58.0	44.0	18.0
var0024	100.0	127.0	157.0	160.0	160.0	149.0
var0025	131.0	89.0	59.0	49.0	34.0	31.0
var0026	316.0	272.0	256.0	195.0	177.0	135.0
var0027	176.0	137.0	134.0	89.0	76.0	59.0
var0028	103.0	132.0	121.0	89.0	86.0	84.0
var0029	121.0	84.0	48.0	54.0	39.0	29.0
var0030	373.0	328.0	328.0	275.0	218.0	156.0
var0031	193.0	199.0	150.0	143.0	131.0	129.0
var0032	108.0	118.0	93.0	108.0	74.0	60.0
var0033	128.0	68.0	43.0	35.0	27.0	14.0
var0034	124.0	133.0	107.0	81.0	94.0	67.0
var0035	88.0	127.0	108.0	92.0	98.0	66.0
var0036	166.0	97.0	54.0	55.0	30.0	18.0
var0037	157.0	141.0	95.0	56.0	73.0	36.0
var0038	152.0	206.0	254.0	313.0	365.0	335.0
var0039	186.0	198.0	248.0	244.0	250.0	237.0
var0040	177.0	170.0	41.0	181.0	163.0	140.0
var0041	187.0	169.0	176.0	168.0	160.0	151.0
var0042	224.0	164.0	133.0	83.0	67.0	31.0
var0043	171.0	167.0	172.0	156.0	152.0	116.0
var0044	116.0	137.0	193.0	211.0	232.0	268.0
var0045	8236.0	158.0	154.0	128.0	105.0	97.0
var0046	67.0	96.0	144.0	225.0	363.0	466.0
var0047	212.0	233.0	249.0	213.0	202.0	191.0
var0048	222.0	216.0	226.0	200.0	205.0	191.0
var0049	202.0	224.0	218.0	215.0	183.0	170.0
var0050	241.0	179.0	151.0	113.0	90.0	64.0
var0051	252.0	365.0	435.0	603.0	804.0	893.0
var0052	147.0	155.0	140.0	157.0	171.0	125.0
var0053	242.0	280.0	404.0	507.0	651.0	825.0
var0054	159.0	230.0	326.0	481.0	644.0	770.0
var0055	107.0	135.0	200.0	242.0	409.0	492.0
var0056	190.0	124.0	91.0	60.0	46.0	33.0
var0057	72.0	58.0	53.0	58.0	48.0	48.0
var0058	157.0	125.0	78.0	53.0	52.0	29.0
var0059	197.0	161.0	126.0	126.0	116.0	91.0
var0060	236.0	257.0	262.0	283.0	281.0	255.0
var0061	138.0	177.0	212.0	224.0	265.0	265.0
var0062	168.0	154.0	159.0	175.0	173.0	142.0
var0063	84.0	84.0	118.0	135.0	149.0	148.0
var0064	92.0	119.0	127.0	122.0	112.0	110.0
var0065	130.0	142.0	164.0	188.0	184.0	180.0
var0066	74.0	60.0	46.0	35.0	26.0	18.0
var0067	204.0	201.0	226.0	174.0	181.0	152.0
var0068	107.0	122.0	110.0	89.0	103.0	100.0
var0069	161.0	211.0	248.0	254.0	336.0	322.0
var0070	155.0	110.0	96.0	36.0	27.0	12.0
var0071	164.0	123.0	92.0	54.0	42.0	17.0
var0072	138.0	149.0	181.0	174.0	193.0	159.0
var0073	243.0	295.0	290.0	313.0	339.0	287.0
var0074	161.0	180.0	172.0	145.0	186.0	168.0
var0075	95.0	91.0	98.0	65.0	97.0	62.0
var0076	288.0	245.0	183.0	147.0	93.0	69.0
var0077	143.0	100.0	61.0	37.0	21.0	17.0
var0078	60.0	63.0	62.0	45.0	49.0	55.0
var0079	155.0	106.0	75.0	40.0	28.0	15.0
var0080	300.0	372.0	442.0	595.0	661.0	712.0
var0081	216.0	143.0	143.0	109.0	83.0	54.0
var0082	241.0	201.0	133.0	103.0	62.0	44.0
var0083	327.0	325.0	320.0	252.0	232.0	210.0
var0084	264.0	206.0	144.0	106.0	56.0	27.0
var0085	185.0	190.0	147.0	133.0	121.0	109.0
var0086	114.0	89.0	57.0	22.0	16.0	12.0
var0087	144.0	192.0	236.0	281.0	310.0	324.0
var0088	204.0	169.0	136.0	126.0	107.0	102.0
var0089	135.0	145.0	136.0	100.0	91.0	96.0
var0090	135.0	174.0	187.0	194.0	211.0	205.0
var0091	460.0	543.0	484.0	503.0	621.0	585.0
var0092	85.0	109.0	84.0	110.0	104.0	109.0
var0093	169.0	149.0	133.0	135.0	102.0	87.0
var0094	230.0	203.0	147.0	152.0	142.0	120.0
var0095	145.0	198.0	188.0	195.0	210.0	218.0
var0096	165.0	202.0	186.0	219.0	223.0	170.0
var0097	246.0	286.0	213.0	254.0	269.0	223.0
var0098	221.0	200.0	176.0	155.0	150.0	147.0
var0099	166.0	202.0	241.0	270.0	313.0	290.0
var0100	83.0	105.0	100.0	120.0	119.0	102.0
var0101	201.0	165.0	168.0	151.0	149.0	112.0
var0102	218.0	196.0	159.0	143.0	91.0	66.0
var0103	85.0	79.0	59.0	54.0	32.0	21.0
var0104	99.0	72.0	65.0	69.0	42.0	45.0
var0105	164.0	139.0	111.0	94.0	60.0	43.0
var0106	248.0	256.0	249.0	234.0	234.0	239.0
var0107	162.0	183.0	196.0	152.0	160.0	129.0
var0108	142.0	110.0	122.0	121.0	133.0	102.0
var0109	235.0	215.0	212.0	184.0	126.0	125.0
var0110	214.0	168.0	128.0	136.0	88.0	58.0
var0111	176.0	127.0	84.0	48.0	36.0	25.0
var0112	113.0	102.0	94.0	70.0	59.0	32.0
var0113	173.0	157.0	104.0	73.0	59.0	39.0
var0114	95.0	104.0	117.0	160.0	155.0	132.0
var0115	127.0	123.0	83.0	79.0	58.0	36.0
var0116	134.0	129.0	158.0	200.0	185.0	194.0
var0117	251.0	289.0	211.0	210.0	186.0	154.0
var0118	206.0	193.0	143.0	94.0	76.0	53.0
var0119	101.0	151.0	128.0	150.0	185.0	164.0
var0120	211.0	203.0	205.0	185.0	207.0	177.0
var0121	182.0	222.0	221.0	225.0	281.0	239.0
var0122	180.0	160.0	148.0	164.0	137.0	126.0
var0123	121.0	110.0	100.0	90.0	106.0	105.0
var0124	210.0	242.0	242.0	263.0	274.0	283.0
var0125	58.0	56.0	58.0	55.0	80.0	52.0
var0126	318.0	325.0	364.0	397.0	360.0	359.0
