test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0	0	17	549	Enrich2
0.01	0.11764705882352941	0.3406193078324226	17	549	Enrich2
0.02	0.11764705882352941	0.39526411657559196	17	549	Enrich2
0.03	0.11764705882352941	0.42987249544626593	17	549	Enrich2
0.04	0.11764705882352941	0.4553734061930783	17	549	Enrich2
0.05	0.11764705882352941	0.4644808743169399	17	549	Enrich2
0.06	0.11764705882352941	0.4808743169398907	17	549	Enrich2
0.07	0.17647058823529413	0.4990892531876138	17	549	Enrich2
0.08	0.17647058823529413	0.5209471766848816	17	549	Enrich2
0.09	0.23529411764705882	0.5318761384335154	17	549	Enrich2
0.1	0.23529411764705882	0.546448087431694	17	549	Enrich2
0.11	0.23529411764705882	0.5610200364298725	17	549	Enrich2
0.12	0.23529411764705882	0.5719489981785064	17	549	Enrich2
0.13	0.23529411764705882	0.5901639344262295	17	549	Enrich2
0.14	0.23529411764705882	0.5956284153005464	17	549	Enrich2
0.15	0.23529411764705882	0.6083788706739527	17	549	Enrich2
0.16	0.23529411764705882	0.6138433515482696	17	549	Enrich2
0.17	0.23529411764705882	0.6193078324225865	17	549	Enrich2
0.18	0.23529411764705882	0.6265938069216758	17	549	Enrich2
0.19	0.23529411764705882	0.6375227686703097	17	549	Enrich2
0.2	0.23529411764705882	0.6466302367941712	17	549	Enrich2
0	0	0	17	549	Rosace
0.01	0.058823529411764705	0.6994535519125683	17	549	Rosace
0.02	0.058823529411764705	0.726775956284153	17	549	Rosace
0.03	0.11764705882352941	0.7431693989071039	17	549	Rosace
0.04	0.11764705882352941	0.7522768670309654	17	549	Rosace
0.05	0.17647058823529413	0.75591985428051	17	549	Rosace
0.06	0.17647058823529413	0.7595628415300546	17	549	Rosace
0.07	0.17647058823529413	0.7650273224043715	17	549	Rosace
0.08	0.17647058823529413	0.7668488160291439	17	549	Rosace
0.09	0.17647058823529413	0.7759562841530054	17	549	Rosace
0.1	0.23529411764705882	0.7795992714025501	17	549	Rosace
0.11	0.29411764705882354	0.7814207650273224	17	549	Rosace
0.12	0.29411764705882354	0.7868852459016393	17	549	Rosace
0.13	0.29411764705882354	0.7959927140255009	17	549	Rosace
0.14	0.29411764705882354	0.8014571948998178	17	549	Rosace
0.15	0.35294117647058826	0.8069216757741348	17	549	Rosace
0.16	0.4117647058823529	0.8123861566484517	17	549	Rosace
0.17	0.4117647058823529	0.8178506375227687	17	549	Rosace
0.18	0.4117647058823529	0.8178506375227687	17	549	Rosace
0.19	0.4117647058823529	0.825136612021858	17	549	Rosace
0.2	0.4117647058823529	0.8269581056466302	17	549	Rosace
0	0	0.052823315118397086	17	549	Rosace(nopos)
0.01	0	0.3333333333333333	17	549	Rosace(nopos)
0.02	0	0.4262295081967213	17	549	Rosace(nopos)
0.03	0.058823529411764705	0.5045537340619308	17	549	Rosace(nopos)
0.04	0.058823529411764705	0.5664845173041895	17	549	Rosace(nopos)
0.05	0.058823529411764705	0.6156648451730419	17	549	Rosace(nopos)
0.06	0.058823529411764705	0.639344262295082	17	549	Rosace(nopos)
