	c_0	c_1	c_2	c_3	c_4	c_5
_wt	19939.0	23737.0	25797.0	27152.0	27396.0	26332.0
var0001	387.0	365.0	512.0	463.0	439.0	387.0
var0002	269.0	249.0	171.0	135.0	92.0	68.0
var0003	185.0	127.0	155.0	194.0	159.0	137.0
var0004	145.0	116.0	79.0	53.0	25.0	14.0
var0005	217.0	250.0	302.0	332.0	332.0	345.0
var0006	254.0	238.0	243.0	219.0	205.0	183.0
var0007	220.0	302.0	373.0	439.0	463.0	434.0
var0008	190.0	122.0	77.0	69.0	50.0	30.0
var0009	222.0	272.0	240.0	215.0	175.0	199.0
var0010	124.0	201.0	237.0	344.0	540.0	607.0
var0011	74.0	63.0	58.0	44.0	29.0	25.0
var0012	179.0	152.0	129.0	103.0	82.0	63.0
var0013	131.0	191.0	211.0	245.0	276.0	293.0
var0014	204.0	198.0	193.0	210.0	166.0	149.0
var0015	229.0	258.0	306.0	342.0	315.0	303.0
var0016	140.0	183.0	268.0	348.0	472.0	564.0
var0017	258.0	291.0	297.0	291.0	312.0	293.0
var0018	75.0	76.0	101.0	61.0	71.0	40.0
var0019	170.0	156.0	94.0	48.0	37.0	24.0
var0020	111.0	96.0	100.0	62.0	45.0	35.0
var0021	210.0	160.0	113.0	61.0	31.0	27.0
var0022	122.0	101.0	87.0	64.0	63.0	41.0
var0023	213.0	123.0	78.0	39.0	36.0	18.0
var0024	169.0	162.0	183.0	157.0	175.0	158.0
var0025	121.0	87.0	85.0	89.0	66.0	47.0
var0026	126.0	202.0	184.0	197.0	211.0	212.0
var0027	271.0	276.0	357.0	382.0	392.0	391.0
var0028	153.0	157.0	153.0	192.0	172.0	152.0
var0029	207.0	124.0	51.0	20.0	3.0	6.0
var0030	178.0	206.0	193.0	150.0	114.0	97.0
var0031	235.0	237.0	196.0	154.0	123.0	109.0
var0032	191.0	87.0	41.0	29.0	21.0	10.0
var0033	96.0	75.0	49.0	63.0	55.0	34.0
var0034	181.0	170.0	131.0	167.0	140.0	126.0
var0035	283.0	365.0	473.0	585.0	734.0	855.0
var0036	194.0	179.0	186.0	220.0	202.0	215.0
var0037	282.0	426.0	775.0	1132.0	1814.0	2551.0
var0038	105.0	65.0	34.0	13.0	7.0	4.0
var0039	172.0	159.0	148.0	149.0	134.0	111.0
var0040	295.0	297.0	318.0	337.0	333.0	282.0
var0041	81.0	87.0	86.0	66.0	35.0	36.0
var0042	127.0	191.0	174.0	198.0	155.0	168.0
var0043	161.0	137.0	109.0	117.0	101.0	85.0
var0044	272.0	326.0	324.0	339.0	375.0	351.0
var0045	158.0	107.0	62.0	44.0	25.0	16.0
var0046	173.0	113.0	63.0	33.0	24.0	9.0
var0047	163.0	143.0	83.0	73.0	53.0	38.0
var0048	230.0	256.0	317.0	343.0	352.0	402.0
var0049	290.0	385.0	406.0	427.0	404.0	406.0
var0050	295.0	177.0	144.0	79.0	47.0	32.0
var0051	240.0	176.0	113.0	85.0	47.0	37.0
var0052	225.0	202.0	233.0	175.0	145.0	148.0
var0053	268.0	241.0	198.0	143.0	121.0	75.0
var0054	221.0	281.0	305.0	313.0	403.0	376.0
var0055	253.0	278.0	296.0	292.0	256.0	218.0
var0056	175.0	108.0	75.0	51.0	24.0	12.0
var0057	176.0	151.0	119.0	81.0	53.0	33.0
var0058	87.0	63.0	76.0	47.0	26.0	22.0
var0059	168.0	221.0	242.0	328.0	379.0	410.0
var0060	83.0	95.0	125.0	158.0	152.0	173.0
var0061	151.0	203.0	247.0	321.0	352.0	375.0
var0062	162.0	211.0	268.0	326.0	377.0	441.0
var0063	142.0	97.0	67.0	44.0	21.0	17.0
var0064	84.0	78.0	52.0	54.0	41.0	22.0
var0065	177.0	225.0	233.0	182.0	155.0	139.0
var0066	193.0	203.0	178.0	167.0	177.0	190.0
var0067	165.0	156.0	169.0	143.0	107.0	123.0
var0068	198.0	246.0	203.0	168.0	149.0	128.0
var0069	45.0	44.0	42.0	42.0	25.0	28.0
var0070	270.0	293.0	289.0	334.0	280.0	239.0
var0071	73.0	60.0	34.0	33.0	29.0	18.0
var0072	172.0	175.0	172.0	180.0	177.0	171.0
var0073	127.0	171.0	218.0	276.0	319.0	319.0
var0074	132.0	99.0	104.0	81.0	99.0	91.0
var0075	162.0	242.0	242.0	272.0	320.0	357.0
var0076	141.0	199.0	189.0	219.0	209.0	186.0
var0077	163.0	161.0	188.0	169.0	178.0	160.0
var0078	114.0	116.0	129.0	123.0	113.0	112.0
var0079	218.0	184.0	94.0	80.0	49.0	32.0
var0080	147.0	104.0	43.0	30.0	18.0	9.0
var0081	240.0	137.0	91.0	52.0	26.0	10.0
var0082	137.0	151.0	180.0	225.0	207.0	213.0
var0083	126.0	106.0	142.0	216.0	252.0	255.0
var0084	221.0	270.0	340.0	424.0	488.0	494.0
var0085	327.0	461.0	502.0	544.0	601.0	638.0
var0086	154.0	121.0	72.0	68.0	34.0	19.0
var0087	136.0	94.0	48.0	26.0	13.0	7.0
var0088	140.0	177.0	204.0	262.0	272.0	327.0
var0089	124.0	91.0	66.0	50.0	39.0	36.0
var0090	306.0	356.0	334.0	378.0	398.0	360.0
var0091	185.0	158.0	137.0	77.0	53.0	26.0
var0092	135.0	96.0	93.0	47.0	29.0	23.0
var0093	200.0	179.0	162.0	217.0	159.0	136.0
var0094	179.0	114.0	67.0	35.0	17.0	8.0
var0095	203.0	252.0	338.0	340.0	355.0	367.0
var0096	147.0	169.0	221.0	269.0	285.0	320.0
var0097	72.0	81.0	62.0	70.0	49.0	22.0
var0098	128.0	106.0	104.0	85.0	61.0	67.0
var0099	98.0	118.0	127.0	149.0	181.0	189.0
var0100	86.0	91.0	89.0	69.0	39.0	36.0
var0101	152.0	156.0	167.0	171.0	145.0	131.0
var0102	249.0	246.0	207.0	163.0	145.0	141.0
var0103	163.0	152.0	94.0	64.0	40.0	27.0
var0104	220.0	294.0	331.0	373.0	446.0	477.0
var0105	128.0	80.0	39.0	22.0	25.0	10.0
var0106	168.0	196.0	183.0	160.0	137.0	125.0
var0107	377.0	301.0	180.0	114.0	66.0	39.0
var0108	176.0	188.0	229.0	244.0	305.0	361.0
var0109	200.0	154.0	105.0	56.0	42.0	22.0
var0110	147.0	68.0	31.0	19.0	12.0	1.0
var0111	217.0	245.0	311.0	305.0	346.0	339.0
var0112	242.0	279.0	260.0	307.0	358.0	337.0
var0113	228.0	254.0	292.0	370.0	337.0	422.0
var0114	230.0	199.0	193.0	150.0	100.0	109.0
var0115	146.0	221.0	308.0	398.0	487.0	631.0
var0116	105.0	84.0	94.0	69.0	72.0	48.0
var0117	198.0	176.0	173.0	181.0	167.0	152.0
var0118	348.0	458.0	641.0	949.0	1326.0	1623.0
var0119	214.0	206.0	196.0	180.0	172.0	177.0
var0120	227.0	172.0	130.0	137.0	126.0	73.0
var0121	87.0	138.0	134.0	137.0	146.0	148.0
var0122	361.0	339.0	333.0	324.0	273.0	245.0
var0123	167.0	177.0	194.0	131.0	128.0	105.0
var0124	250.0	385.0	581.0	835.0	1101.0	1439.0
var0125	149.0	178.0	189.0	166.0	132.0	124.0
var0126	134.0	112.0	94.0	74.0	59.0	41.0
var0127	168.0	118.0	135.0	110.0	69.0	49.0
var0128	311.0	391.0	539.0	625.0	781.0	959.0
var0129	252.0	196.0	151.0	111.0	78.0	55.0
var0130	247.0	307.0	242.0	221.0	190.0	123.0
var0131	217.0	262.0	293.0	357.0	368.0	368.0
var0132	127.0	150.0	120.0	169.0	143.0	175.0
var0133	290.0	205.0	113.0	71.0	55.0	22.0
var0134	80.0	65.0	42.0	41.0	24.0	11.0
var0135	145.0	173.0	162.0	144.0	112.0	108.0
