	W_0	W_1	W_2	W_3	W_4	W_5
_wt	9847.25	11188.25	12206.75	12649.75	12710.250000000002	12731.75
var0001	171.0022273116223	234.0265444655729	279.26845440557173	353.49094824226364	398.1642691190707	423.3427338379547
var0002	190.63665962689194	232.06798682057408	274.38120165242395	381.65438743333203	460.02179497083705	432.04293904180986
var0003	161.17017928186536	148.50780209535648	124.85815436651862	95.14086434337469	57.370231179841426	49.40396072590443
var0004	88.10409189708335	77.23250868442148	76.26103511637403	57.369611941475725	40.43557794273595	30.463511022201303
var0005	244.4282795105807	201.66597652790082	185.086087398374	146.64503674303455	127.85370268895065	107.04807203472684
var0006	218.05861159929702	202.64798946016563	192.96268489921977	256.86530185062014	247.07498052201012	253.9419809486781
var0007	90.08603740207228	99.05951904253425	105.04605611974387	93.1557220493837	93.15735478560791	85.21387334142237
var0008	243.45289855072465	216.38704359371545	204.76798334687246	160.4755999371588	141.70563900950592	95.14316874682108
var0009	150.3434823138164	120.84384167481552	134.7520978451261	82.2318473721535	81.23954003607561	78.25874050583353
var0010	139.50477690950342	110.94716070793311	126.83758811784362	112.00195773650245	111.01307183142724	74.28266700603024
var0011	300.8334875	266.2928000529895	216.56177939265996	194.0008727201412	144.6719373386529	100.10490337975278
var0012	426.0782290114257	314.0301938753029	271.4478997893714	208.76302430419443	170.3507248358862	100.10490337975278
var0013	106.91640995859005	102.03261933360024	84.20853743162708	88.19149795178825	66.32648997528152	43.425814482298975
var0014	136.5466796087132	110.94716070793311	128.81669926251885	102.08640067711205	85.21339096683134	75.27680214573789
var0015	130.62779935438314	137.64802353986232	140.68459580533496	92.16303363264021	104.07217433888346	82.23356885618101
var0016	125.69266182331872	130.7317287186778	130.7954878794052	124.88052114060964	104.07217433888346	86.20715264187868
var0017	247.35383554775638	382.8361042783098	372.7214323168764	364.1811231446491	386.5318347344362	348.65969128868574
var0018	186.71293315898006	222.26999911508344	248.93554632069737	240.19766463080416	226.46435533549067	214.67475661993768
var0019	178.8607421383648	154.4268484821587	130.7954878794052	94.14833228321652	69.31050411926246	42.42918332941269
var0020	97.01969229991916	112.92720097821253	145.6261298859935	178.2354193649672	221.5520882077679	245.11750807047568
var0021	161.17017928186536	188.8918885983959	234.23094320486814	279.38037487295753	292.104438870742	336.9806335981399
var0022	187.69401277408974	172.16508869179603	150.56565235090576	96.13331823909277	66.32648997528152	35.45057649319581
var0023	232.7172478675364	190.8580907439408	109.01106104473354	70.30408947575877	49.40379858657243	42.42918332941269
var0024	152.31286527609834	157.3851897049035	170.30365059995933	187.10592239485248	187.11250927408332	214.67475661993768
var0025	201.4187732435421	143.57285422494562	106.03742862969006	85.2120248178058	48.40764262436688	38.441877107677826
var0026	114.82659010600707	123.81113061641705	113.96549861382911	97.1256939796039	62.346711533178976	61.351821743388825
var0027	199.45927573381584	157.3851897049035	110.00211017778503	100.10235236220474	73.28809719934102	55.37929581880168
var0028	367.5115974886641	381.86998682187567	313.4238910678905	288.1796041577117	265.6936529253766	221.55534900922646
var0029	134.5741174987393	89.14345010237692	51.39159002656857	52.391280766803405	45.418705332600325	40.43568655897114
var0030	176.89670658682635	179.055647914173	143.64975771642642	121.90971402722052	128.8436301369863	101.0970174066106
