condition	clean	clean	jackpot	jackpot	reperror	reperror
value	pvalue_raw	z	pvalue_raw	z	pvalue_raw	z
var0001	4.251209878850857e-10	6.244513582860584	3.678326765403881e-06	4.628776396782339	2.4742463939616505e-06	4.710240508807688
var0002	5.304676181267136e-109	22.180449112485675	1.3797625710994352e-109	22.240958850466964	1.2238311114347258e-52	15.269352024465107
var0003	4.3617440361981403e-07	5.052451820182991	1.1210112999597786e-07	5.305928118372898	1.4547186847488134e-07	5.258200496936899
var0004	3.408764909621154e-89	20.023912008631513	7.921138451725222e-186	29.07282296419297	6.168832778330994e-42	13.568358225445808
var0005	2.7041178576881778e-05	4.19705206417745	0.3313998061555221	0.9712981974560159	0.004211396107048618	2.86187752597653
var0006	1.833470480238798e-39	13.144361327035883	6.399611728545613e-35	12.328024945810657	2.014059680474408e-06	4.75200843538886
var0007	2.572943113144723e-21	9.478771477307374	1.6710277479532666e-09	6.02693053989296	0.7137355061203114	0.3668438376049145
var0008	1.5343944699095636e-54	15.552322359500918	1.1292730965905616e-86	19.732720157994116	7.157891603934639e-191	29.46914501473243
var0009	5.777467376578236e-09	5.823074821740083	8.102651068449853e-12	6.836720667078996	3.4958867467296044e-09	5.9064356894575045
var0010	2.321859145246189e-195	29.81743512287625	0.0	39.482912596172	1.4502814049088946e-219	31.62952728775445
var0011	2.2165131773326162e-79	18.864909313319018	4.9408055489953724e-34	12.16220297253877	3.1585060563767624e-108	22.10003092556412
var0012	4.84972185505341e-28	10.978488122018312	6.127819796206182e-51	15.011993256536456	2.2603783546884005e-98	21.050550810726126
var0013	4.0375152661196165e-14	7.559780044165143	5.669094187634986e-35	12.337789577855661	7.606579392967e-30	11.347784363192334
var0014	8.76155736628912e-18	8.58914934385458	3.4336524305552544e-09	5.909395582923188	6.405121632817101e-30	11.362809268904687
var0015	0.10183753112851404	1.6360098250954795	0.7668334918543694	0.2965193500399438	0.10905481304124606	1.6024559858398169
var0016	1.0812786949588955e-294	36.689313284373725	0.0	47.49788502624481	0.0	48.406772253428024
var0017	0.04484411227080901	2.006113758430394	0.008151480697703082	2.6457301817618264	6.028771141769308e-06	4.525377791621852
var0018	2.30248907773772e-45	14.13527008994503	2.296029535825327e-21	9.490647785469285	0.0065328371137309705	2.7197647693424227
var0019	1.3461498083614772e-70	17.763873761500754	2.08106151555639e-179	28.56049074025032	1.1047471929839493e-50	14.972855170157118
var0020	1.4018765146729233e-18	8.797267664495484	3.796330552094934e-81	19.078693110093084	3.0088200926090854e-62	16.650341173661992
var0021	1.6891144038285422e-64	16.957669782437126	9.924809131595264e-82	19.14869214221928	3.192294064304701e-31	11.621828613910083
var0022	6.22894348900387e-35	12.330203217623273	7.364178834287227e-107	21.95736868405269	2.907102741768426e-70	17.72061623800138
var0023	6.568398820063605e-286	36.13428478883133	0.0	58.68150098628661	1.1007323852791777e-114	22.761631587345782
var0024	3.8128105407555176e-08	5.499309651131435	2.8756363109453577e-31	11.630748874910534	3.967033051312762e-15	7.855965803320799
var0025	1.2804088573456186e-83	19.373952397538122	5.98019654585002e-34	12.146598908551356	5.829014568955791e-201	30.24633859252407
var0026	0.0071422502073581725	2.6901378832360936	0.02599874600692781	2.2262304998420674	0.0047130148602216055	2.8260211734182215
var0027	0.6219916415464364	0.493029644038518	0.0020695491149104847	3.080065736801648	0.47380814491775036	0.7162967309575715
var0028	0.046941911156667834	1.9868239357444197	3.565253208842156e-06	4.635238994721774	0.0036454268524650792	2.9073177594539983
var0029	1.8976071130947746e-279	35.72053605296082	0.0	39.61971058844208	NA	NA
var0030	3.353146990776659e-64	16.917325610837853	4.407442715946925e-74	18.208641953388103	2.6108334365279684e-16	8.190065826195248
var0031	3.721434273291151e-36	12.555220433262352	1.0239347647730895e-149	26.060462325914962	1.0184791864318449e-61	16.577210469644132
var0032	1.1415279510202098e-113	22.65883793107762	NA	NA	7.840640139923445e-72	17.922715013470683
var0033	1.5119687737109142e-25	10.447022995793613	9.555609598821792e-75	18.292158057048898	3.8037030261634715e-36	12.55348957977444
var0034	8.314389141044683e-52	15.143892148308634	7.2025260509405515e-40	13.214854705608804	7.461332110811266e-11	6.511078128428381
var0035	6.676959511514266e-126	23.86742571965152	4.0082235528123745e-256	34.18523063362393	5.0129405514541065e-229	32.31030270681751
var0036	4.161276613008272e-13	7.250209438926911	1.6454369698515003e-10	6.391242028039716	0.24030979777349137	1.174212806342576
var0037	0.0	75.79370685379601	0.0	74.594520381243	9.321033801693978e-08	5.339486250813711
var0038	7.031196178320787e-42	13.558762864830154	4.769455873169632e-188	29.24794006998678	0.0	40.36954600503093
var0039	5.018466821792718e-32	11.778830253914341	1.7102235010430614e-71	17.879282948564576	2.889948945827586e-35	12.39193230095438
var0040	8.309238819621171e-14	7.465327965549808	0.0008750330977585869	3.327899873651272	3.060655844912849e-13	7.291701108448945
var0041	0.0	38.615281465887186	2.9971938036239924e-89	20.03032107573173	1.5074977554181313e-20	9.29246919047289
var0042	0.07250395964022892	1.7959406306288437	0.10827782298181612	1.6059821909638572	0.12877981498095253	1.5189311986053573
var0043	1.6370436360670208e-40	13.325873983866002	9.814710899953216e-125	23.754743370789743	1.9821643664477056e-49	14.779642175862646
var0044	0.057493916717217965	1.8995369230308723	0.0983455731323066	1.6529277282000654	0.3900594028706639	0.8595096417271011
