	c_0	c_1	c_2	c_3	c_4	c_5
_wt	19930.0	23306.0	25284.0	26558.0	27412.0	26548.0
var0001	352.0	379.0	398.0	382.0	394.0	396.0
var0002	107.0	78.0	67.0	71.0	30.0	30.0
var0003	120.0	109.0	99.0	94.0	110.0	107.0
var0004	193.0	150.0	93.0	74.0	53.0	48.0
var0005	156.0	186.0	233.0	257.0	237.0	214.0
var0006	183.0	222.0	174.0	151.0	161.0	165.0
var0007	179.0	201.0	289.0	350.0	362.0	403.0
var0008	237.0	189.0	175.0	122.0	103.0	61.0
var0009	366.0	383.0	399.0	366.0	367.0	348.0
var0010	134.0	199.0	322.0	409.0	556.0	688.0
var0011	88.0	50.0	44.0	48.0	23.0	20.0
var0012	217.0	192.0	152.0	104.0	103.0	59.0
var0013	285.0	356.0	445.0	535.0	559.0	714.0
var0014	246.0	251.0	231.0	231.0	201.0	163.0
var0015	92.0	86.0	117.0	110.0	106.0	99.0
var0016	113.0	181.0	246.0	307.0	382.0	454.0
var0017	166.0	196.0	205.0	192.0	224.0	237.0
var0018	214.0	194.0	176.0	128.0	133.0	81.0
var0019	180.0	177.0	119.0	92.0	50.0	52.0
var0020	335.0	281.0	219.0	203.0	145.0	166.0
var0021	84.0	56.0	28.0	34.0	17.0	11.0
var0022	151.0	128.0	91.0	51.0	42.0	34.0
var0023	274.0	187.0	92.0	67.0	35.0	23.0
var0024	167.0	180.0	179.0	195.0	170.0	141.0
var0025	110.0	117.0	105.0	78.0	71.0	46.0
var0026	309.0	352.0	471.0	533.0	538.0	483.0
var0027	76.0	91.0	90.0	94.0	102.0	89.0
var0028	142.0	174.0	160.0	205.0	210.0	213.0
var0029	224.0	130.0	64.0	23.0	11.0	8.0
var0030	195.0	156.0	140.0	126.0	75.0	68.0
var0031	354.0	317.0	260.0	225.0	176.0	142.0
var0032	179.0	104.0	50.0	20.0	15.0	5.0
var0033	203.0	188.0	156.0	149.0	146.0	114.0
var0034	289.0	293.0	276.0	279.0	262.0	222.0
var0035	216.0	319.0	448.0	569.0	704.0	865.0
var0036	187.0	206.0	206.0	215.0	200.0	182.0
var0037	193.0	330.0	542.0	815.0	1267.0	1857.0
var0038	396.0	279.0	139.0	71.0	52.0	27.0
var0039	447.0	423.0	420.0	367.0	342.0	284.0
var0040	166.0	191.0	189.0	195.0	149.0	153.0
var0041	95.0	90.0	80.0	51.0	50.0	33.0
var0042	72.0	75.0	85.0	92.0	83.0	81.0
var0043	277.0	267.0	233.0	212.0	135.0	123.0
var0044	243.0	316.0	285.0	372.0	332.0	379.0
var0045	144.0	90.0	62.0	50.0	27.0	16.0
var0046	162.0	103.0	41.0	22.0	7.0	8.0
var0047	106.0	75.0	69.0	50.0	27.0	30.0
var0048	175.0	215.0	286.0	297.0	308.0	289.0
var0049	127.0	173.0	181.0	194.0	179.0	174.0
var0050	119.0	87.0	49.0	23.0	27.0	10.0
var0051	182.0	134.0	80.0	59.0	35.0	22.0
var0052	279.0	212.0	231.0	227.0	183.0	139.0
var0053	143.0	145.0	124.0	113.0	66.0	65.0
var0054	265.0	309.0	342.0	405.0	426.0	420.0
var0055	89.0	118.0	112.0	107.0	99.0	77.0
var0056	88.0	54.0	28.0	26.0	18.0	10.0
var0057	130.0	102.0	67.0	68.0	47.0	25.0
var0058	371.0	285.0	184.0	131.0	92.0	50.0
var0059	203.0	248.0	327.0	404.0	414.0	461.0
var0060	156.0	185.0	242.0	284.0	303.0	356.0
var0061	99.0	110.0	151.0	185.0	227.0	256.0
var0062	101.0	131.0	212.0	233.0	280.0	334.0
var0063	132.0	70.0	38.0	27.0	21.0	14.0
var0064	174.0	160.0	166.0	153.0	120.0	96.0
var0065	141.0	181.0	165.0	138.0	142.0	129.0
var0066	130.0	139.0	147.0	147.0	125.0	93.0
var0067	196.0	188.0	183.0	181.0	152.0	123.0
var0068	122.0	101.0	99.0	99.0	71.0	58.0
var0069	301.0	309.0	306.0	212.0	196.0	133.0
var0070	161.0	184.0	183.0	163.0	162.0	131.0
var0071	117.0	106.0	60.0	55.0	38.0	32.0
var0072	163.0	177.0	183.0	193.0	138.0	144.0
var0073	228.0	310.0	367.0	471.0	538.0	517.0
var0074	100.0	114.0	124.0	124.0	100.0	90.0
var0075	126.0	161.0	245.0	231.0	257.0	257.0
var0076	245.0	270.0	287.0	332.0	287.0	297.0
var0077	219.0	251.0	227.0	230.0	205.0	186.0
var0078	210.0	222.0	249.0	250.0	207.0	229.0
var0079	284.0	220.0	151.0	99.0	71.0	55.0
var0080	117.0	67.0	34.0	15.0	14.0	3.0
var0081	126.0	67.0	44.0	31.0	12.0	4.0
var0082	183.0	239.0	250.0	306.0	305.0	316.0
var0083	200.0	267.0	343.0	471.0	551.0	554.0
var0084	374.0	411.0	513.0	584.0	628.0	658.0
var0085	87.0	102.0	107.0	147.0	148.0	141.0
var0086	194.0	169.0	138.0	84.0	74.0	38.0
var0087	178.0	104.0	55.0	39.0	22.0	11.0
var0088	257.0	350.0	457.0	475.0	504.0	619.0
var0089	176.0	141.0	99.0	96.0	73.0	36.0
var0090	217.0	236.0	234.0	237.0	207.0	211.0
var0091	118.0	100.0	77.0	47.0	43.0	35.0
var0092	185.0	159.0	105.0	80.0	59.0	25.0
var0093	118.0	117.0	92.0	91.0	85.0	76.0
var0094	139.0	58.0	60.0	36.0	24.0	4.0
var0095	101.0	155.0	171.0	201.0	211.0	246.0
var0096	90.0	126.0	134.0	147.0	168.0	204.0
var0097	164.0	183.0	120.0	91.0	54.0	39.0
var0098	131.0	156.0	133.0	131.0	101.0	92.0
var0099	200.0	242.0	271.0	265.0	319.0	308.0
var0100	433.0	400.0	335.0	266.0	219.0	167.0
var0101	88.0	91.0	67.0	68.0	61.0	42.0
var0102	183.0	146.0	122.0	106.0	84.0	79.0
var0103	130.0	91.0	57.0	51.0	35.0	19.0
var0104	125.0	187.0	169.0	231.0	248.0	251.0
var0105	279.0	164.0	90.0	46.0	24.0	4.0
var0106	101.0	97.0	118.0	81.0	108.0	68.0
var0107	161.0	122.0	82.0	65.0	27.0	16.0
var0108	116.0	186.0	217.0	272.0	284.0	320.0
var0109	146.0	131.0	81.0	57.0	23.0	9.0
var0110	169.0	101.0	40.0	30.0	22.0	7.0
var0111	126.0	122.0	123.0	156.0	137.0	156.0
