	c_0	c_1	c_2	c_3	c_4	c_5
_wt	18987.0	21002.0	22566.0	23193.0	24877.0	24519.0
var0001	187.0	245.0	293.0	333.0	346.0	415.0
var0002	594.0	733.0	812.0	923.0	1137.0	1179.0
var0003	200.0	153.0	149.0	104.0	89.0	82.0
var0004	264.0	267.0	184.0	196.0	121.0	108.0
var0005	276.0	234.0	204.0	151.0	128.0	120.0
var0006	203.0	190.0	266.0	256.0	273.0	271.0
var0007	64.0	52.0	64.0	48.0	60.0	47.0
var0008	211.0	210.0	188.0	167.0	125.0	111.0
var0009	186.0	133.0	78.0	82.0	78.0	65.0
var0010	300.0	354.0	347.0	262.0	261.0	220.0
var0011	97.0	108.0	86.0	80.0	65.0	55.0
var0012	138.0	106.0	106.0	49.0	49.0	34.0
var0013	192.0	202.0	166.0	121.0	88.0	71.0
var0014	154.0	174.0	161.0	167.0	164.0	99.0
var0015	192.0	218.0	163.0	188.0	154.0	130.0
var0016	233.0	174.0	172.0	147.0	103.0	85.0
var0017	134.0	152.0	153.0	148.0	131.0	131.0
var0018	156.0	168.0	155.0	148.0	152.0	163.0
var0019	117.0	86.0	121.0	71.0	63.0	45.0
var0020	322.0	392.0	484.0	557.0	647.0	686.0
var0021	117.0	147.0	178.0	233.0	236.0	254.0
var0022	95.0	75.0	102.0	107.0	106.0	98.0
var0023	275.0	154.0	137.0	89.0	71.0	55.0
var0024	298.0	364.0	376.0	358.0	382.0	380.0
var0025	95.0	85.0	54.0	26.0	21.0	6.0
var0026	98.0	77.0	72.0	51.0	32.0	39.0
var0027	176.0	120.0	116.0	84.0	66.0	45.0
var0028	195.0	185.0	141.0	164.0	140.0	127.0
var0029	265.0	241.0	158.0	103.0	102.0	75.0
var0030	161.0	121.0	149.0	110.0	98.0	87.0
var0031	129.0	92.0	102.0	87.0	80.0	88.0
var0032	206.0	190.0	134.0	120.0	115.0	95.0
var0033	124.0	105.0	64.0	42.0	30.0	20.0
var0034	197.0	174.0	159.0	132.0	129.0	99.0
var0035	82.0	77.0	74.0	60.0	64.0	57.0
var0036	297.0	213.0	101.0	71.0	47.0	28.0
var0037	299.0	267.0	203.0	110.0	89.0	69.0
var0038	94.0	151.0	169.0	215.0	261.0	270.0
var0039	164.0	177.0	169.0	138.0	157.0	156.0
var0040	126.0	141.0	122.0	124.0	121.0	104.0
var0041	324.0	331.0	364.0	353.0	336.0	313.0
var0042	217.0	172.0	137.0	85.0	61.0	52.0
var0043	259.0	205.0	182.0	138.0	115.0	145.0
var0044	269.0	365.0	440.0	488.0	578.0	612.0
var0045	276.0	226.0	223.0	165.0	129.0	95.0
var0046	153.0	250.0	414.0	584.0	817.0	1071.0
var0047	181.0	170.0	186.0	139.0	151.0	155.0
var0048	128.0	143.0	145.0	122.0	137.0	137.0
var0049	137.0	160.0	163.0	165.0	145.0	119.0
var0050	204.0	167.0	121.0	101.0	96.0	72.0
var0051	166.0	253.0	322.0	392.0	540.0	653.0
var0052	51.0	51.0	60.0	62.0	83.0	74.0
var0053	134.0	196.0	279.0	355.0	459.0	563.0
var0054	267.0	343.0	477.0	659.0	953.0	1218.0
var0055	104.0	211.0	239.0	312.0	411.0	569.0
var0056	140.0	135.0	106.0	67.0	40.0	35.0
var0057	142.0	134.0	113.0	116.0	113.0	77.0
var0058	213.0	140.0	94.0	47.0	34.0	27.0
var0059	285.0	266.0	246.0	206.0	176.0	167.0
var0060	260.0	262.0	271.0	275.0	314.0	300.0
var0061	156.0	203.0	243.0	240.0	300.0	342.0
var0062	477.0	511.0	470.0	455.0	471.0	475.0
var0063	191.0	229.0	311.0	309.0	413.0	415.0
var0064	250.0	299.0	302.0	263.0	344.0	312.0
var0065	369.0	346.0	387.0	452.0	449.0	438.0
var0066	246.0	204.0	163.0	136.0	92.0	81.0
var0067	210.0	218.0	205.0	220.0	184.0	145.0
var0068	229.0	201.0	210.0	211.0	222.0	170.0
var0069	136.0	189.0	209.0	218.0	299.0	307.0
var0070	131.0	75.0	44.0	23.0	10.0	3.0
var0071	266.0	200.0	166.0	99.0	65.0	58.0
var0072	99.0	107.0	115.0	129.0	114.0	117.0
var0073	137.0	178.0	174.0	207.0	216.0	189.0
var0074	142.0	173.0	162.0	156.0	155.0	126.0
var0075	253.0	237.0	197.0	186.0	177.0	147.0
var0076	108.0	90.0	76.0	61.0	41.0	37.0
var0077	277.0	207.0	126.0	91.0	49.0	38.0
var0078	199.0	211.0	203.0	193.0	213.0	195.0
var0079	88.0	67.0	59.0	23.0	12.0	6.0
var0080	179.0	241.0	281.0	324.0	389.0	442.0
var0081	133.0	121.0	88.0	56.0	37.0	23.0
var0082	120.0	67.0	57.0	24.0	25.0	16.0
