	c_0	c_1	c_2	c_3	c_4	c_5
_wt	18337.0	21155.0	23884.0	25509.0	24778.0	23893.0
var0001	97.0	116.0	154.0	130.0	124.0	98.0
var0002	222.0	186.0	151.0	121.0	99.0	47.0
var0003	71.0	107.0	109.0	133.0	28.0	95.0
var0004	110.0	75.0	70.0	42.0	16.0	7.0
var0005	250.0	298.0	321.0	345.0	396.0	365.0
var0006	119.0	143.0	148.0	118.0	108.0	95.0
var0007	162.0	199.0	279.0	266.0	298.0	303.0
var0008	109.0	91.0	96.0	62.0	39.0	20.0
var0009	147.0	161.0	161.0	133.0	108.0	98.0
var0010	135.0	226.0	324.0	490.0	607.0	739.0
var0011	118.0	80.0	107.0	78.0	46.0	26.0
var0012	189.0	149.0	103.0	82.0	58.0	45.0
var0013	153.0	206.0	307.0	334.0	388.0	482.0
var0014	365.0	330.0	325.0	285.0	228.0	189.0
var0015	260.0	301.0	388.0	312.0	305.0	350.0
var0016	88.0	144.0	222.0	277.0	352.0	355.0
var0017	191.0	210.0	200.0	208.0	191.0	156.0
var0018	127.0	82.0	72.0	56.0	41.0	31.0
var0019	75.0	57.0	48.0	21.0	18.0	8.0
var0020	246.0	293.0	231.0	159.0	148.0	108.0
var0021	131.0	89.0	58.0	44.0	23.0	7.0
var0022	96.0	92.0	87.0	53.0	54.0	23.0
var0023	284.0	170.0	113.0	66.0	34.0	22.0
var0024	181.0	174.0	176.0	156.0	168.0	131.0
var0025	97.0	61.0	43.0	44.0	56.0	25.0
var0026	152.0	164.0	208.0	207.0	204.0	195.0
var0027	74.0	129.0	146.0	131.0	157.0	168.0
var0028	176.0	168.0	180.0	191.0	157.0	152.0
var0029	131.0	84.0	30.0	17.0	11.0	2.0
var0030	103.0	97.0	70.0	60.0	54.0	37.0
var0031	84.0	60.0	57.0	51.0	28.0	21.0
var0032	284.0	142.0	59.0	27.0	19.0	5.0
var0033	208.0	168.0	163.0	140.0	133.0	106.0
var0034	79.0	103.0	104.0	88.0	78.0	67.0
var0035	218.0	303.0	453.0	578.0	668.0	771.0
var0036	133.0	154.0	168.0	174.0	142.0	129.0
var0037	148.0	289.0	403.0	678.0	1007.0	1434.0
var0038	377.0	254.0	128.0	68.0	24.0	19.0
var0039	187.0	235.0	214.0	167.0	174.0	146.0
var0040	267.0	272.0	288.0	268.0	272.0	276.0
var0041	187.0	147.0	141.0	123.0	101.0	71.0
var0042	302.0	312.0	361.0	402.0	371.0	384.0
var0043	135.0	120.0	93.0	85.0	91.0	62.0
var0044	218.0	252.0	279.0	298.0	301.0	286.0
var0045	316.0	247.0	153.0	104.0	46.0	22.0
var0046	96.0	66.0	29.0	24.0	12.0	2.0
var0047	217.0	143.0	142.0	72.0	53.0	25.0
var0048	183.0	236.0	258.0	284.0	266.0	277.0
var0049	164.0	153.0	209.0	211.0	197.0	188.0
var0050	56.0	67.0	45.0	17.0	14.0	7.0
